,part,sex,group,age_months,condition,ME13
66,MA16,M,4,515,IMRE_ME13,67.48
67,MA17,M,4,573,IMRE_ME13,62.86
68,MA18,M,4,558,IMRE_ME13,68.78
69,MA19,M,4,432,IMRE_ME13,64.72
70,MA20,M,4,438,IMRE_ME13,64.84
71,MA21,M,4,588,IMRE_ME13,67.8
72,MA22,M,4,547,IMRE_ME13,64.99
73,MA23,F,4,488,IMRE_ME13,70.22
74,MA24,F,4,528,IMRE_ME13,69.53
75,OA01,F,5,774,IMRE_ME13,67.7
76,OA02,F,5,745,IMRE_ME13,71.54
