,part,sex,group,age_months,condition,f0
555,OA15,F,6,893,IMUR_medianf0st,92.84
556,OA16,F,6,801,IMUR_medianf0st,92.44
557,OA17,M,6,819,IMUR_medianf0st,84.97
558,OA18,M,6,834,IMUR_medianf0st,87.68
559,OA20,M,6,903,IMUR_medianf0st,91.14
560,OA21,M,6,797,IMUR_medianf0st,85.13
561,OA23,M,6,913,IMUR_medianf0st,90.74
562,OA24,F,6,892,IMUR_medianf0st,91.18
563,OA25,F,6,895,IMUR_medianf0st,93.04
564,OA29,M,6,781,IMUR_medianf0st,87.96
565,OA30,F,6,799,IMUR_medianf0st,93.08
566,OA31,F,6,893,IMUR_medianf0st,93.49
567,OA34,M,6,787,IMUR_medianf0st,85.4
568,OA35,M,6,830,IMUR_medianf0st,91.12
569,OA36,M,6,800,IMUR_medianf0st,88.66
570,OA37,M,6,949,IMUR_medianf0st,89.99
1369,CH01,F,1,115,SPSN_medianf0st,102.96
1370,CH02,F,1,114,SPSN_medianf0st,107.18
1371,CH05,M,1,135,SPSN_medianf0st,103.46
1372,CH06,M,1,136,SPSN_medianf0st,98.57
1373,CH07,F,1,97,SPSN_medianf0st,106.77
1374,CH08,F,1,100,SPSN_medianf0st,107.47
1375,CH09,M,1,145,SPSN_medianf0st,97.48
1376,CH10,M,1,144,SPSN_medianf0st,97.49
1377,CH13,M,1,98,SPSN_medianf0st,104.93
1378,CH15,M,1,98,SPSN_medianf0st,105.45
1379,CH16,M,1,124,SPSN_medianf0st,104.8
1380,CH17,M,1,140,SPSN_medianf0st,101.84
1381,CH18,F,1,104,SPSN_medianf0st,104.18
1382,CH19,F,1,99,SPSN_medianf0st,99.73
1383,CH20,F,1,155,SPSN_medianf0st,94.54
1384,CH21,F,1,153,SPSN_medianf0st,94.72
1385,CH22,M,1,126,SPSN_medianf0st,100.79
1386,CH23,M,1,132,SPSN_medianf0st,99.28
1387,CH32,F,1,127,SPSN_medianf0st,100.62
1388,CH33,F,1,135,SPSN_medianf0st,104.12
1389,CH03,F,2,176,SPSN_medianf0st,95.43
1390,CH04,F,2,185,SPSN_medianf0st,91.31
1391,CH11,M,2,170,SPSN_medianf0st,87.96
1392,CH12,M,2,167,SPSN_medianf0st,91.3
1393,CH24,F,2,192,SPSN_medianf0st,93.84
1394,CH25,F,2,193,SPSN_medianf0st,92.35
1395,CH26,F,2,215,SPSN_medianf0st,91.58
1396,CH27,F,2,215,SPSN_medianf0st,95.35
1397,CH28,F,2,195,SPSN_medianf0st,95.71
1398,CH29,F,2,207,SPSN_medianf0st,97.03
1399,CH30,M,2,206,SPSN_medianf0st,87.21
1400,CH31,M,2,212,SPSN_medianf0st,83.66
1401,CH34,F,2,184,SPSN_medianf0st,93.25
1402,CH35,F,2,171,SPSN_medianf0st,89.35
1403,YA01,F,3,277,SPSN_medianf0st,90.3
1404,YA02,F,3,318,SPSN_medianf0st,91.7
1405,YA03,F,3,265,SPSN_medianf0st,93.24
1406,YA04,F,3,264,SPSN_medianf0st,93.42
1407,YA05,F,3,257,SPSN_medianf0st,95.31
1408,YA06,F,3,295,SPSN_medianf0st,90.17
1409,YA07,F,3,258,SPSN_medianf0st,95.45
1410,YA08,F,3,267,SPSN_medianf0st,96.35
1411,YA09,F,3,271,SPSN_medianf0st,95.27
1412,YA10,F,3,241,SPSN_medianf0st,92.38
1413,YA11,M,3,269,SPSN_medianf0st,86.11
1414,YA12,M,3,266,SPSN_medianf0st,87.69
1415,YA13,M,3,242,SPSN_medianf0st,89.04
1416,YA14,M,3,266,SPSN_medianf0st,87.75
1417,YA15,M,3,233,SPSN_medianf0st,86.91
1418,YA16,M,3,244,SPSN_medianf0st,85.88
1419,YA17,M,3,230,SPSN_medianf0st,83.46
1420,YA18,M,3,244,SPSN_medianf0st,79.75
1421,YA19,M,3,277,SPSN_medianf0st,83.85
1422,YA20,M,3,241,SPSN_medianf0st,85.45
1423,MA01,F,4,436,SPSN_medianf0st,90.65
1424,MA02,F,4,476,SPSN_medianf0st,94.39
1425,MA03,F,4,441,SPSN_medianf0st,91.96
1426,MA04,F,4,431,SPSN_medianf0st,90.53
1427,MA05,M,4,467,SPSN_medianf0st,88.12
1428,MA06,M,4,506,SPSN_medianf0st,87.89
1429,MA11,F,4,596,SPSN_medianf0st,92.37
1430,MA12,F,4,599,SPSN_medianf0st,93.34
1431,MA13,F,4,557,SPSN_medianf0st,92.27
1432,MA14,F,4,554,SPSN_medianf0st,91.08
1433,MA15,M,4,597,SPSN_medianf0st,85.48
1434,MA16,M,4,515,SPSN_medianf0st,86.73
1435,MA17,M,4,573,SPSN_medianf0st,89.18
1436,MA18,M,4,558,SPSN_medianf0st,85.46
1437,MA19,M,4,432,SPSN_medianf0st,87.27
1438,MA20,M,4,438,SPSN_medianf0st,82.24
1439,MA21,M,4,588,SPSN_medianf0st,90.39
1440,MA22,M,4,547,SPSN_medianf0st,90.47
1441,MA23,F,4,488,SPSN_medianf0st,93.59
1442,MA24,F,4,528,SPSN_medianf0st,96.78
1443,OA01,F,5,774,SPSN_medianf0st,94.97
1444,OA02,F,5,745,SPSN_medianf0st,98.81
1445,OA05,F,5,705,SPSN_medianf0st,92.29
1446,OA06,F,5,717,SPSN_medianf0st,93.11
1447,OA07,F,5,708,SPSN_medianf0st,95.99
1448,OA08,F,5,708,SPSN_medianf0st,97.61
1449,OA26,F,5,779,SPSN_medianf0st,94.47
1450,OA27,F,5,780,SPSN_medianf0st,92.86
1451,OA32,F,5,771,SPSN_medianf0st,92.32
1452,OA33,F,5,732,SPSN_medianf0st,94.88
1453,OA39,M,5,715,SPSN_medianf0st,87.56
1454,OA40,M,5,733,SPSN_medianf0st,88.09
1455,OA41,M,5,641,SPSN_medianf0st,86.88
1456,OA42,M,5,685,SPSN_medianf0st,88.86
1457,OA43,M,5,613,SPSN_medianf0st,83.82
1458,OA44,M,5,656,SPSN_medianf0st,81.87
1459,OA45,M,5,770,SPSN_medianf0st,91.6
1460,OA46,M,5,705,SPSN_medianf0st,84.73
1461,OA47,M,5,649,SPSN_medianf0st,88.23
1462,OA48,M,5,643,SPSN_medianf0st,90.62
1463,OA09,F,6,920,SPSN_medianf0st,92.46
1464,OA11,F,6,884,SPSN_medianf0st,91.81
1465,OA13,F,6,858,SPSN_medianf0st,92.67
1466,OA14,F,6,820,SPSN_medianf0st,94.95
1467,OA15,F,6,893,SPSN_medianf0st,93.8
1468,OA16,F,6,801,SPSN_medianf0st,93.33
1469,OA17,M,6,819,SPSN_medianf0st,84.71
1470,OA18,M,6,834,SPSN_medianf0st,88.92
1471,OA20,M,6,903,SPSN_medianf0st,91.33
1472,OA21,M,6,797,SPSN_medianf0st,85.48
1473,OA23,M,6,913,SPSN_medianf0st,90.9
1474,OA24,F,6,892,SPSN_medianf0st,91.78
1475,OA25,F,6,895,SPSN_medianf0st,92.66
1476,OA29,M,6,781,SPSN_medianf0st,88.03
1477,OA30,F,6,799,SPSN_medianf0st,92.63
1478,OA31,F,6,893,SPSN_medianf0st,93.77
1479,OA34,M,6,787,SPSN_medianf0st,85.86
1480,OA35,M,6,830,SPSN_medianf0st,91.49
1481,OA36,M,6,800,SPSN_medianf0st,89.53
1482,OA37,M,6,949,SPSN_medianf0st,90.32
1483,CH01,F,1,115,NORM_medianf0st,98.14
1484,CH02,F,1,114,NORM_medianf0st,100.53
1485,CH05,M,1,135,NORM_medianf0st,99.25
1486,CH06,M,1,136,NORM_medianf0st,93.71
1487,CH07,F,1,97,NORM_medianf0st,102.32
1488,CH08,F,1,100,NORM_medianf0st,101.71
1489,CH09,M,1,145,NORM_medianf0st,94.26
1490,CH10,M,1,144,NORM_medianf0st,94.13
1491,CH13,M,1,98,NORM_medianf0st,97.55
1492,CH15,M,1,98,NORM_medianf0st,100.5
1493,CH16,M,1,124,NORM_medianf0st,98.69
1494,CH17,M,1,140,NORM_medianf0st,97.34
1495,CH18,F,1,104,NORM_medianf0st,98.35
1496,CH19,F,1,99,NORM_medianf0st,97.41
1497,CH20,F,1,155,NORM_medianf0st,92.62
1498,CH21,F,1,153,NORM_medianf0st,93.21
1499,CH22,M,1,126,NORM_medianf0st,95.07
1500,CH23,M,1,132,NORM_medianf0st,95.79
1501,CH32,F,1,127,NORM_medianf0st,96.43
1502,CH33,F,1,135,NORM_medianf0st,100.68
1503,CH03,F,2,176,NORM_medianf0st,93.77
1504,CH04,F,2,185,NORM_medianf0st,90.11
1505,CH11,M,2,170,NORM_medianf0st,85.31
1506,CH12,M,2,167,NORM_medianf0st,88.6
1507,CH24,F,2,192,NORM_medianf0st,91.08
1508,CH25,F,2,193,NORM_medianf0st,91.48
1509,CH26,F,2,215,NORM_medianf0st,89.41
1510,CH27,F,2,215,NORM_medianf0st,94.16
1511,CH28,F,2,195,NORM_medianf0st,94.7
1512,CH29,F,2,207,NORM_medianf0st,94.28
1513,CH30,M,2,206,NORM_medianf0st,82.52
1514,CH31,M,2,212,NORM_medianf0st,80.04
1515,CH34,F,2,184,NORM_medianf0st,90.42
1516,CH35,F,2,171,NORM_medianf0st,87.65
1517,YA01,F,3,277,NORM_medianf0st,88.39
1518,YA02,F,3,318,NORM_medianf0st,88.36
1519,YA03,F,3,265,NORM_medianf0st,87.7
1520,YA04,F,3,264,NORM_medianf0st,90.78
1521,YA05,F,3,257,NORM_medianf0st,93.29
1522,YA06,F,3,295,NORM_medianf0st,88.25
1523,YA07,F,3,258,NORM_medianf0st,91.57
1524,YA08,F,3,267,NORM_medianf0st,93.58
1525,YA09,F,3,271,NORM_medianf0st,91.84
1526,YA10,F,3,241,NORM_medianf0st,91.02
1527,YA11,M,3,269,NORM_medianf0st,82.27
1528,YA12,M,3,266,NORM_medianf0st,82.54
1529,YA13,M,3,242,NORM_medianf0st,84.37
1530,YA14,M,3,266,NORM_medianf0st,84.75
1531,YA15,M,3,233,NORM_medianf0st,80.1
1532,YA16,M,3,244,NORM_medianf0st,81.39
1533,YA17,M,3,230,NORM_medianf0st,80.44
1534,YA18,M,3,244,NORM_medianf0st,77.4
1535,YA19,M,3,277,NORM_medianf0st,79.48
1536,YA20,M,3,241,NORM_medianf0st,80.1
1537,MA01,F,4,436,NORM_medianf0st,87.88
1538,MA02,F,4,476,NORM_medianf0st,90.24
1539,MA03,F,4,441,NORM_medianf0st,90.29
1540,MA04,F,4,431,NORM_medianf0st,87.16
1541,MA05,M,4,467,NORM_medianf0st,83.88
1542,MA06,M,4,506,NORM_medianf0st,82.03
1543,MA11,F,4,596,NORM_medianf0st,89.14
1544,MA12,F,4,599,NORM_medianf0st,91.25
1545,MA13,F,4,557,NORM_medianf0st,90.36
1546,MA14,F,4,554,NORM_medianf0st,89.31
1547,MA15,M,4,597,NORM_medianf0st,80.74
1548,MA16,M,4,515,NORM_medianf0st,82.51
1549,MA17,M,4,573,NORM_medianf0st,82.53
1550,MA18,M,4,558,NORM_medianf0st,82.36
1551,MA19,M,4,432,NORM_medianf0st,81.64
1552,MA20,M,4,438,NORM_medianf0st,78.97
1553,MA21,M,4,588,NORM_medianf0st,85.21
1554,MA22,M,4,547,NORM_medianf0st,85.52
1555,MA23,F,4,488,NORM_medianf0st,90.66
1556,MA24,F,4,528,NORM_medianf0st,91.18
1557,OA01,F,5,774,NORM_medianf0st,89.6
1558,OA02,F,5,745,NORM_medianf0st,93.72
1559,OA05,F,5,705,NORM_medianf0st,89.84
1560,OA06,F,5,717,NORM_medianf0st,88.46
1561,OA07,F,5,708,NORM_medianf0st,93.07
1562,OA08,F,5,708,NORM_medianf0st,93.87
1563,OA26,F,5,779,NORM_medianf0st,88.72
1564,OA27,F,5,780,NORM_medianf0st,91.46
1565,OA32,F,5,771,NORM_medianf0st,88.96
1566,OA33,F,5,732,NORM_medianf0st,92.41
1567,OA39,M,5,715,NORM_medianf0st,82.91
1568,OA40,M,5,733,NORM_medianf0st,85.16
1569,OA41,M,5,641,NORM_medianf0st,80.69
1570,OA42,M,5,685,NORM_medianf0st,83.11
1571,OA43,M,5,613,NORM_medianf0st,82.47
1572,OA44,M,5,656,NORM_medianf0st,81.09
1573,OA45,M,5,770,NORM_medianf0st,84.97
1574,OA46,M,5,705,NORM_medianf0st,80.21
1575,OA47,M,5,649,NORM_medianf0st,84.25
1576,OA48,M,5,643,NORM_medianf0st,85.65
1577,OA09,F,6,920,NORM_medianf0st,88.77
1578,OA11,F,6,884,NORM_medianf0st,86.79
1579,OA13,F,6,858,NORM_medianf0st,89.18
1580,OA14,F,6,820,NORM_medianf0st,90.63
1581,OA15,F,6,893,NORM_medianf0st,91.15
1582,OA16,F,6,801,NORM_medianf0st,89.72
1583,OA17,M,6,819,NORM_medianf0st,80.96
1584,OA18,M,6,834,NORM_medianf0st,85.13
1585,OA20,M,6,903,NORM_medianf0st,87.02
1586,OA21,M,6,797,NORM_medianf0st,80.5
1587,OA23,M,6,913,NORM_medianf0st,87.61
1588,OA24,F,6,892,NORM_medianf0st,88.55
1589,OA25,F,6,895,NORM_medianf0st,91.06
1590,OA29,M,6,781,NORM_medianf0st,84.17
1591,OA30,F,6,799,NORM_medianf0st,91.48
1592,OA31,F,6,893,NORM_medianf0st,90.2
1593,OA34,M,6,787,NORM_medianf0st,82.7
1594,OA35,M,6,830,NORM_medianf0st,89.97
1595,OA36,M,6,800,NORM_medianf0st,85.46
1596,OA37,M,6,949,NORM_medianf0st,87.87
1597,CH01,F,1,115,IMRE_diff,6.15
1598,CH02,F,1,114,IMRE_diff,3.87
1599,CH05,M,1,135,IMRE_diff,3.59
1600,CH06,M,1,136,IMRE_diff,6.12
1601,CH07,F,1,97,IMRE_diff,2.19
1602,CH08,F,1,100,IMRE_diff,4.43
1603,CH09,M,1,145,IMRE_diff,2.62
1604,CH10,M,1,144,IMRE_diff,2.31
1605,CH13,M,1,98,IMRE_diff,3.95
1606,CH15,M,1,98,IMRE_diff,3.03
1607,CH16,M,1,124,IMRE_diff,4.44
1608,CH17,M,1,140,IMRE_diff,3.84
1609,CH18,F,1,104,IMRE_diff,3.2
1610,CH19,F,1,99,IMRE_diff,2.03
1611,CH20,F,1,155,IMRE_diff,1.49
1612,CH21,F,1,153,IMRE_diff,1.44
1613,CH22,M,1,126,IMRE_diff,5.87
1614,CH23,M,1,132,IMRE_diff,1.87
1615,CH32,F,1,127,IMRE_diff,2.54
1616,CH33,F,1,135,IMRE_diff,1.76
1617,CH03,F,2,176,IMRE_diff,0.91
1618,CH04,F,2,185,IMRE_diff,1.22
1619,CH11,M,2,170,IMRE_diff,3.29
1620,CH12,M,2,167,IMRE_diff,1.78
1621,CH24,F,2,192,IMRE_diff,1.69
1622,CH25,F,2,193,IMRE_diff,0.63
1623,CH26,F,2,215,IMRE_diff,2.2
1624,CH27,F,2,215,IMRE_diff,0.43
1625,CH28,F,2,195,IMRE_diff,1.47
1626,CH29,F,2,207,IMRE_diff,1.88
1627,CH30,M,2,206,IMRE_diff,4.25
1628,CH31,M,2,212,IMRE_diff,3.77
1629,CH34,F,2,184,IMRE_diff,1.74
1630,CH35,F,2,171,IMRE_diff,1.56
1631,YA01,F,3,277,IMRE_diff,1.85
1632,YA02,F,3,318,IMRE_diff,2.94
1633,YA03,F,3,265,IMRE_diff,4.5
1634,YA04,F,3,264,IMRE_diff,2.77
1635,YA05,F,3,257,IMRE_diff,1.61
1636,YA06,F,3,295,IMRE_diff,1.4
1637,YA07,F,3,258,IMRE_diff,3.21
1638,YA08,F,3,267,IMRE_diff,2.07
1639,YA09,F,3,271,IMRE_diff,2.21
1640,YA10,F,3,241,IMRE_diff,1.21
1641,YA11,M,3,269,IMRE_diff,4.06
1642,YA12,M,3,266,IMRE_diff,3.68
1643,YA13,M,3,242,IMRE_diff,3.93
1644,YA14,M,3,266,IMRE_diff,2.84
1645,YA15,M,3,233,IMRE_diff,7.38
1646,YA16,M,3,244,IMRE_diff,3.93
1647,YA17,M,3,230,IMRE_diff,1.67
1648,YA18,M,3,244,IMRE_diff,1.4
1649,YA19,M,3,277,IMRE_diff,2.94
1650,YA20,M,3,241,IMRE_diff,3.05
1651,MA01,F,4,436,IMRE_diff,1.84
1652,MA02,F,4,476,IMRE_diff,1.85
1653,MA03,F,4,441,IMRE_diff,1.74
1654,MA04,F,4,431,IMRE_diff,2.15
1655,MA05,M,4,467,IMRE_diff,2.01
1656,MA06,M,4,506,IMRE_diff,3.36
