id,part,sex,group,age_months,condition,rate
494,YA04,F,3,264,NORM_artrate,4.43
495,YA05,F,3,257,NORM_artrate,4.58
496,YA06,F,3,295,NORM_artrate,3.98
497,YA07,F,3,258,NORM_artrate,4.25
498,YA08,F,3,267,NORM_artrate,5.12
499,YA09,F,3,271,NORM_artrate,3.75
500,YA10,F,3,241,NORM_artrate,3.83
501,YA11,M,3,269,NORM_artrate,4.77
502,YA12,M,3,266,NORM_artrate,5.25
503,YA13,M,3,242,NORM_artrate,4.83
504,YA14,M,3,266,NORM_artrate,4.67
505,YA15,M,3,233,NORM_artrate,4.18
506,YA16,M,3,244,NORM_artrate,4.09
507,YA17,M,3,230,NORM_artrate,4.66
508,YA18,M,3,244,NORM_artrate,4.46
509,YA19,M,3,277,NORM_artrate,4.21
510,YA20,M,3,241,NORM_artrate,4.51
511,MA01,F,4,436,NORM_artrate,4.55
512,MA02,F,4,476,NORM_artrate,4.13
513,MA03,F,4,441,NORM_artrate,4.75
514,MA04,F,4,431,NORM_artrate,4.6
515,MA05,M,4,467,NORM_artrate,4.45
516,MA06,M,4,506,NORM_artrate,5.06
517,MA11,F,4,596,NORM_artrate,4.37
518,MA12,F,4,599,NORM_artrate,4.49
519,MA13,F,4,557,NORM_artrate,3.51
520,MA14,F,4,554,NORM_artrate,4.01
521,MA15,M,4,597,NORM_artrate,4.21
522,MA16,M,4,515,NORM_artrate,4.23
523,MA17,M,4,573,NORM_artrate,4.48
524,MA18,M,4,558,NORM_artrate,4.26
525,MA19,M,4,432,NORM_artrate,4.91
526,MA20,M,4,438,NORM_artrate,5.25
527,MA21,M,4,588,NORM_artrate,4.37
528,MA22,M,4,547,NORM_artrate,4.27
529,MA23,F,4,488,NORM_artrate,4.56
530,MA24,F,4,528,NORM_artrate,4.7
531,OA01,F,5,774,NORM_artrate,4.04
532,OA02,F,5,745,NORM_artrate,4.56
533,OA05,F,5,705,NORM_artrate,3.77
534,OA06,F,5,717,NORM_artrate,3.94
535,OA07,F,5,708,NORM_artrate,3.93
536,OA08,F,5,708,NORM_artrate,4.16
537,OA26,F,5,779,NORM_artrate,4.78
538,OA27,F,5,780,NORM_artrate,4.26
539,OA32,F,5,771,NORM_artrate,4.46
540,OA33,F,5,732,NORM_artrate,4.18
541,OA39,M,5,715,NORM_artrate,3.76
542,OA40,M,5,733,NORM_artrate,4.43
543,OA41,M,5,641,NORM_artrate,3.87
544,OA42,M,5,685,NORM_artrate,3.56
545,OA43,M,5,613,NORM_artrate,3.95
546,OA44,M,5,656,NORM_artrate,4.85
547,OA45,M,5,770,NORM_artrate,4.03
548,OA46,M,5,705,NORM_artrate,4.01
549,OA47,M,5,649,NORM_artrate,3.65
550,OA48,M,5,643,NORM_artrate,4.53
551,OA09,F,6,920,NORM_artrate,3.46
552,OA11,F,6,884,NORM_artrate,3.95
553,OA13,F,6,858,NORM_artrate,3.86
554,OA14,F,6,820,NORM_artrate,3.51
555,OA15,F,6,893,NORM_artrate,3.95
556,OA16,F,6,801,NORM_artrate,3.73
557,OA17,M,6,819,NORM_artrate,4.68
558,OA18,M,6,834,NORM_artrate,3.6
559,OA20,M,6,903,NORM_artrate,3.52
560,OA21,M,6,797,NORM_artrate,4.03
561,OA23,M,6,913,NORM_artrate,3.93
562,OA24,F,6,892,NORM_artrate,4.54
563,OA25,F,6,895,NORM_artrate,3.78
564,OA29,M,6,781,NORM_artrate,4.61
565,OA30,F,6,799,NORM_artrate,3.43
566,OA31,F,6,893,NORM_artrate,3.65
567,OA34,M,6,787,NORM_artrate,4.15
568,OA35,M,6,830,NORM_artrate,4.41
569,OA36,M,6,800,NORM_artrate,3.66
570,OA37,M,6,949,NORM_artrate,4.03
571,CH01,F,1,115,IMRE_diff,-0.87
572,CH02,F,1,114,IMRE_diff,-0.58
573,CH05,M,1,135,IMRE_diff,-0.13
574,CH06,M,1,136,IMRE_diff,0.11
575,CH07,F,1,97,IMRE_diff,-0.95
576,CH08,F,1,100,IMRE_diff,-0.67
577,CH09,M,1,145,IMRE_diff,-0.07
578,CH10,M,1,144,IMRE_diff,-0.37
579,CH13,M,1,98,IMRE_diff,0.24
580,CH15,M,1,98,IMRE_diff,-0.18
581,CH16,M,1,124,IMRE_diff,-0.58
582,CH17,M,1,140,IMRE_diff,-0.32
583,CH18,F,1,104,IMRE_diff,-0.52
584,CH19,F,1,99,IMRE_diff,-0.15
585,CH20,F,1,155,IMRE_diff,-0.48
586,CH21,F,1,153,IMRE_diff,-0.54
587,CH22,M,1,126,IMRE_diff,-0.18
588,CH23,M,1,132,IMRE_diff,-0.07
589,CH32,F,1,127,IMRE_diff,-0.33
590,CH33,F,1,135,IMRE_diff,-0.03
591,CH03,F,2,176,IMRE_diff,-0.34
592,CH04,F,2,185,IMRE_diff,-0.42
593,CH11,M,2,170,IMRE_diff,0.08
594,CH12,M,2,167,IMRE_diff,-0.33
595,CH24,F,2,192,IMRE_diff,-0.15
596,CH25,F,2,193,IMRE_diff,0
597,CH26,F,2,215,IMRE_diff,-0.1
598,CH27,F,2,215,IMRE_diff,0.26
599,CH28,F,2,195,IMRE_diff,-0.08
600,CH29,F,2,207,IMRE_diff,-0.48
601,CH30,M,2,206,IMRE_diff,-0.26
602,CH31,M,2,212,IMRE_diff,-0.08
603,CH34,F,2,184,IMRE_diff,-0.4
604,CH35,F,2,171,IMRE_diff,-0.69
605,YA01,F,3,277,IMRE_diff,-0.15
606,YA02,F,3,318,IMRE_diff,-0.04
607,YA03,F,3,265,IMRE_diff,0.22
608,YA04,F,3,264,IMRE_diff,-0.05
609,YA05,F,3,257,IMRE_diff,0.06
610,YA06,F,3,295,IMRE_diff,-0.01
611,YA07,F,3,258,IMRE_diff,0.01
612,YA08,F,3,267,IMRE_diff,-0.29
613,YA09,F,3,271,IMRE_diff,-0.18
614,YA10,F,3,241,IMRE_diff,0.08
615,YA11,M,3,269,IMRE_diff,-0.48
616,YA12,M,3,266,IMRE_diff,-0.2
617,YA13,M,3,242,IMRE_diff,-0.21
618,YA14,M,3,266,IMRE_diff,-0.06
619,YA15,M,3,233,IMRE_diff,-0.02
620,YA16,M,3,244,IMRE_diff,-0.09
621,YA17,M,3,230,IMRE_diff,-0.21
622,YA18,M,3,244,IMRE_diff,-0.32
623,YA19,M,3,277,IMRE_diff,-0.32
624,YA20,M,3,241,IMRE_diff,-0.19
625,MA01,F,4,436,IMRE_diff,-0.34
626,MA02,F,4,476,IMRE_diff,-0.13
627,MA03,F,4,441,IMRE_diff,-0.43
628,MA04,F,4,431,IMRE_diff,-0.25
629,MA05,M,4,467,IMRE_diff,0.34
630,MA06,M,4,506,IMRE_diff,-0.06
631,MA11,F,4,596,IMRE_diff,-0.15
632,MA12,F,4,599,IMRE_diff,-0.17
633,MA13,F,4,557,IMRE_diff,-0.08
634,MA14,F,4,554,IMRE_diff,-0.04
635,MA15,M,4,597,IMRE_diff,-0.22
636,MA16,M,4,515,IMRE_diff,-0.26
637,MA17,M,4,573,IMRE_diff,-0.14
638,MA18,M,4,558,IMRE_diff,-0.01
639,MA19,M,4,432,IMRE_diff,-0.22
640,MA20,M,4,438,IMRE_diff,-0.36
641,MA21,M,4,588,IMRE_diff,-0.14
642,MA22,M,4,547,IMRE_diff,-0.27
643,MA23,F,4,488,IMRE_diff,-0.3
644,MA24,F,4,528,IMRE_diff,-0.48
645,OA01,F,5,774,IMRE_diff,-0.26
646,OA02,F,5,745,IMRE_diff,-0.71
647,OA05,F,5,705,IMRE_diff,-0.15
648,OA06,F,5,717,IMRE_diff,-0.13
649,OA07,F,5,708,IMRE_diff,-0.36
650,OA08,F,5,708,IMRE_diff,-0.24
651,OA26,F,5,779,IMRE_diff,-0.82
652,OA27,F,5,780,IMRE_diff,-0.11
653,OA32,F,5,771,IMRE_diff,-0.43
654,OA33,F,5,732,IMRE_diff,-0.17
655,OA39,M,5,715,IMRE_diff,-0.18
656,OA40,M,5,733,IMRE_diff,0.41
657,OA41,M,5,641,IMRE_diff,0.14
658,OA42,M,5,685,IMRE_diff,0.3
659,OA43,M,5,613,IMRE_diff,0.19
660,OA44,M,5,656,IMRE_diff,-0.03
661,OA45,M,5,770,IMRE_diff,-0.19
662,OA46,M,5,705,IMRE_diff,-0.05
663,OA47,M,5,649,IMRE_diff,0.02
664,OA48,M,5,643,IMRE_diff,-0.02
665,OA09,F,6,920,IMRE_diff,-0.31
666,OA11,F,6,884,IMRE_diff,0.03
667,OA13,F,6,858,IMRE_diff,-0.46
668,OA14,F,6,820,IMRE_diff,-0.05
669,OA15,F,6,893,IMRE_diff,-0.21
670,OA16,F,6,801,IMRE_diff,0.02
671,OA17,M,6,819,IMRE_diff,-0.46
672,OA18,M,6,834,IMRE_diff,-0.34
673,OA20,M,6,903,IMRE_diff,-0.14
674,OA21,M,6,797,IMRE_diff,-0.28
675,OA23,M,6,913,IMRE_diff,-0.13
676,OA24,F,6,892,IMRE_diff,-0.07
677,OA25,F,6,895,IMRE_diff,-0.22
